id,identifier,picture,height,weight,type1,type2
240,magby,240.png,7,214,fire,
241,miltank,241.png,12,755,normal,
242,blissey,242.png,15,468,normal,
243,raikou,243.png,19,1780,electric,
244,entei,244.png,21,1980,fire,
245,suicune,245.png,20,1870,water,
246,larvitar,246.png,6,720,rock,ground
247,pupitar,247.png,12,1520,rock,ground
248,tyranitar,248.png,20,2020,rock,dark
249,lugia,249.png,52,2160,psychic,flying
250,ho-oh,250.png,38,1990,fire,flying
251,celebi,251.png,6,50,psychic,grass
252,treecko,252.png,5,50,grass,
253,grovyle,253.png,9,216,grass,
254,sceptile,254.png,17,522,grass,
255,torchic,255.png,4,25,fire,
256,combusken,256.png,9,195,fire,fighting
257,blaziken,257.png,19,520,fire,fighting
258,mudkip,258.png,4,76,water,
259,marshtomp,259.png,7,280,water,ground
260,swampert,260.png,15,819,water,ground
261,poochyena,261.png,5,136,dark,
262,mightyena,262.png,10,370,dark,
263,zigzagoon,263.png,4,175,normal,
264,linoone,264.png,5,325,normal,
265,wurmple,265.png,3,36,bug,
266,silcoon,266.png,6,100,bug,
267,beautifly,267.png,10,284,bug,flying
268,cascoon,268.png,7,115,bug,
269,dustox,269.png,12,316,bug,poison
270,lotad,270.png,5,26,water,grass
271,lombre,271.png,12,325,water,grass
272,ludicolo,272.png,15,550,water,grass
273,seedot,273.png,5,40,grass,
274,nuzleaf,274.png,10,280,grass,dark
275,shiftry,275.png,13,596,grass,dark
276,taillow,276.png,3,23,normal,flying
277,swellow,277.png,7,198,normal,flying
278,wingull,278.png,6,95,water,flying
279,pelipper,279.png,12,280,water,flying
280,ralts,280.png,4,66,psychic,fairy
281,kirlia,281.png,8,202,psychic,fairy
282,gardevoir,282.png,16,484,psychic,fairy
283,surskit,283.png,5,17,bug,water
284,masquerain,284.png,8,36,bug,flying
285,shroomish,285.png,4,45,grass,
286,breloom,286.png,12,392,grass,fighting
287,slakoth,287.png,8,240,normal,
288,vigoroth,288.png,14,465,normal,
289,slaking,289.png,20,1305,normal,
290,nincada,290.png,5,55,bug,ground
291,ninjask,291.png,8,120,bug,flying
292,shedinja,292.png,8,12,bug,ghost
293,whismur,293.png,6,163,normal,
294,loudred,294.png,10,405,normal,
295,exploud,295.png,15,840,normal,
296,makuhita,296.png,10,864,fighting,
297,hariyama,297.png,23,2538,fighting,
298,azurill,298.png,2,20,normal,fairy
299,nosepass,299.png,10,970,rock,
300,skitty,300.png,6,110,normal,
301,delcatty,301.png,11,326,normal,
302,sableye,302.png,5,110,dark,ghost
303,mawile,303.png,6,115,steel,fairy
304,aron,304.png,4,600,steel,rock
305,lairon,305.png,9,1200,steel,rock
306,aggron,306.png,21,3600,steel,rock
307,meditite,307.png,6,112,fighting,psychic
308,medicham,308.png,13,315,fighting,psychic
309,electrike,309.png,6,152,electric,
310,manectric,310.png,15,402,electric,
311,plusle,311.png,4,42,electric,
312,minun,312.png,4,42,electric,
313,volbeat,313.png,7,177,bug,
314,illumise,314.png,6,177,bug,
315,roselia,315.png,3,20,grass,poison
316,gulpin,316.png,4,103,poison,
317,swalot,317.png,17,800,poison,
318,carvanha,318.png,8,208,water,dark
319,sharpedo,319.png,18,888,water,dark
320,wailmer,320.png,20,1300,water,
321,wailord,321.png,145,3980,water,
322,numel,322.png,7,240,fire,ground
323,camerupt,323.png,19,2200,fire,ground
324,torkoal,324.png,5,804,fire,
325,spoink,325.png,7,306,psychic,
326,grumpig,326.png,9,715,psychic,
327,spinda,327.png,11,50,normal,
328,trapinch,328.png,7,150,ground,
329,vibrava,329.png,11,153,ground,dragon
330,flygon,330.png,20,820,ground,dragon
331,cacnea,331.png,4,513,grass,
332,cacturne,332.png,13,774,grass,dark
333,swablu,333.png,4,12,normal,flying
334,altaria,334.png,11,206,dragon,flying
335,zangoose,335.png,13,403,normal,
336,seviper,336.png,27,525,poison,
337,lunatone,337.png,10,1680,rock,psychic
338,solrock,338.png,12,1540,rock,psychic
339,barboach,339.png,4,19,water,ground
340,whiscash,340.png,9,236,water,ground
341,corphish,341.png,6,115,water,
342,crawdaunt,342.png,11,328,water,dark
343,baltoy,343.png,5,215,ground,psychic
344,claydol,344.png,15,1080,ground,psychic
345,lileep,345.png,10,238,rock,grass
346,cradily,346.png,15,604,rock,grass
347,anorith,347.png,7,125,rock,bug
348,armaldo,348.png,15,682,rock,bug
349,feebas,349.png,6,74,water,
350,milotic,350.png,62,1620,water,
351,castform,351.png,3,8,normal,
352,kecleon,352.png,10,220,normal,
353,shuppet,353.png,6,23,ghost,
354,banette,354.png,11,125,ghost,
355,duskull,355.png,8,150,ghost,
356,dusclops,356.png,16,306,ghost,
357,tropius,357.png,20,1000,grass,flying
358,chimecho,358.png,6,10,psychic,
359,absol,359.png,12,470,dark,
360,wynaut,360.png,6,140,psychic,
361,snorunt,361.png,7,168,ice,
362,glalie,362.png,15,2565,ice,
363,spheal,363.png,8,395,ice,water
364,sealeo,364.png,11,876,ice,water
365,walrein,365.png,14,1506,ice,water
366,clamperl,366.png,4,525,water,
367,huntail,367.png,17,270,water,
368,gorebyss,368.png,18,226,water,
369,relicanth,369.png,10,234,water,rock
370,luvdisc,370.png,6,87,water,
371,bagon,371.png,6,421,dragon,
372,shelgon,372.png,11,1105,dragon,
373,salamence,373.png,15,1026,dragon,flying
374,beldum,374.png,6,952,steel,psychic
375,metang,375.png,12,2025,steel,psychic
376,metagross,376.png,16,5500,steel,psychic
377,regirock,377.png,17,2300,rock,
378,regice,378.png,18,1750,ice,
379,registeel,379.png,19,2050,steel,
380,latias,380.png,14,400,dragon,psychic
381,latios,381.png,20,600,dragon,psychic
382,kyogre,382.png,45,3520,water,
383,groudon,383.png,35,9500,ground,
384,rayquaza,384.png,70,2065,dragon,flying
385,jirachi,385.png,3,11,steel,psychic
386,deoxys-normal,386.png,17,608,psychic,
387,turtwig,387.png,4,102,grass,
388,grotle,388.png,11,970,grass,
389,torterra,389.png,22,3100,grass,ground
390,chimchar,390.png,5,62,fire,
391,monferno,391.png,9,220,fire,fighting
392,infernape,392.png,12,550,fire,fighting
393,piplup,393.png,4,52,water,
394,prinplup,394.png,8,230,water,
395,empoleon,395.png,17,845,water,steel
396,starly,396.png,3,20,normal,flying
397,staravia,397.png,6,155,normal,flying
398,staraptor,398.png,12,249,normal,flying
399,bidoof,399.png,5,200,normal,
400,bibarel,400.png,10,315,normal,water
401,kricketot,401.png,3,22,bug,
402,kricketune,402.png,10,255,bug,
403,shinx,403.png,5,95,electric,
404,luxio,404.png,9,305,electric,
405,luxray,405.png,14,420,electric,
406,budew,406.png,2,12,grass,poison
407,roserade,407.png,9,145,grass,poison
408,cranidos,408.png,9,315,rock,
409,rampardos,409.png,16,1025,rock,
410,shieldon,410.png,5,570,rock,steel
411,bastiodon,411.png,13,1495,rock,steel
412,burmy,412.png,2,34,bug,
413,wormadam-plant,413.png,5,65,bug,grass
414,mothim,414.png,9,233,bug,flying
415,combee,415.png,3,55,bug,flying
416,vespiquen,416.png,12,385,bug,flying
417,pachirisu,417.png,4,39,electric,
418,buizel,418.png,7,295,water,
419,floatzel,419.png,11,335,water,
420,cherubi,420.png,4,33,grass,
421,cherrim,421.png,5,93,grass,
422,shellos,422.png,3,63,water,
423,gastrodon,423.png,9,299,water,ground
424,ambipom,424.png,12,203,normal,
425,drifloon,425.png,4,12,ghost,flying
426,drifblim,426.png,12,150,ghost,flying
427,buneary,427.png,4,55,normal,
428,lopunny,428.png,12,333,normal,
429,mismagius,429.png,9,44,ghost,
430,honchkrow,430.png,9,273,dark,flying
431,glameow,431.png,5,39,normal,
432,purugly,432.png,10,438,normal,
433,chingling,433.png,2,6,psychic,
434,stunky,434.png,4,192,poison,dark
435,skuntank,435.png,10,380,poison,dark
436,bronzor,436.png,5,605,steel,psychic
437,bronzong,437.png,13,1870,steel,psychic
438,bonsly,438.png,5,150,rock,
439,mime-jr,439.png,6,130,psychic,fairy
440,happiny,440.png,6,244,normal,
441,chatot,441.png,5,19,normal,flying
442,spiritomb,442.png,10,1080,ghost,dark
443,gible,443.png,7,205,dragon,ground
444,gabite,444.png,14,560,dragon,ground
445,garchomp,445.png,19,950,dragon,ground
446,munchlax,446.png,6,1050,normal,
447,riolu,447.png,7,202,fighting,
448,lucario,448.png,12,540,fighting,steel
449,hippopotas,449.png,8,495,ground,
450,hippowdon,450.png,20,3000,ground,
451,skorupi,451.png,8,120,poison,bug
452,drapion,452.png,13,615,poison,dark
453,croagunk,453.png,7,230,poison,fighting
454,toxicroak,454.png,13,444,poison,fighting
455,carnivine,455.png,14,270,grass,
456,finneon,456.png,4,70,water,
457,lumineon,457.png,12,240,water,
458,mantyke,458.png,10,650,water,flying
459,snover,459.png,10,505,grass,ice
460,abomasnow,460.png,22,1355,grass,ice
461,weavile,461.png,11,340,dark,ice
462,magnezone,462.png,12,1800,electric,steel
463,lickilicky,463.png,17,1400,normal,
464,rhyperior,464.png,24,2828,ground,rock
465,tangrowth,465.png,20,1286,grass,
466,electivire,466.png,18,1386,electric,
467,magmortar,467.png,16,680,fire,
468,togekiss,468.png,15,380,fairy,flying
469,yanmega,469.png,19,515,bug,flying
470,leafeon,470.png,10,255,grass,
471,glaceon,471.png,8,259,ice,
472,gliscor,472.png,20,425,ground,flying
473,mamoswine,473.png,25,2910,ice,ground
474,porygon-z,474.png,9,340,normal,
475,gallade,475.png,16,520,psychic,fighting
476,probopass,476.png,14,3400,rock,steel
477,dusknoir,477.png,22,1066,ghost,
478,froslass,478.png,13,266,ice,ghost
479,rotom,479.png,3,3,electric,ghost
480,uxie,480.png,3,3,psychic,
481,mesprit,481.png,3,3,psychic,
482,azelf,482.png,3,3,psychic,
483,dialga,483.png,54,6830,steel,dragon
484,palkia,484.png,42,3360,water,dragon
485,heatran,485.png,17,4300,fire,steel
486,regigigas,486.png,37,4200,normal,
487,giratina-altered,487.png,45,7500,ghost,dragon
488,cresselia,488.png,15,856,psychic,
489,phione,489.png,4,31,water,
490,manaphy,490.png,3,14,water,
491,darkrai,491.png,15,505,dark,
492,shaymin-land,492.png,2,21,grass,
493,arceus,493.png,32,3200,normal,
494,victini,494.png,4,40,psychic,fire
495,snivy,495.png,6,81,grass,
496,servine,496.png,8,160,grass,
497,serperior,497.png,33,630,grass,
498,tepig,498.png,5,99,fire,
499,pignite,499.png,10,555,fire,fighting
500,emboar,500.png,16,1500,fire,fighting
501,oshawott,501.png,5,59,water,
502,dewott,502.png,8,245,water,
503,samurott,503.png,15,946,water,
504,patrat,504.png,5,116,normal,
505,watchog,505.png,11,270,normal,
506,lillipup,506.png,4,41,normal,
507,herdier,507.png,9,147,normal,
508,stoutland,508.png,12,610,normal,
509,purrloin,509.png,4,101,dark,
510,liepard,510.png,11,375,dark,
511,pansage,511.png,6,105,grass,
512,simisage,512.png,11,305,grass,
513,pansear,513.png,6,110,fire,
514,simisear,514.png,10,280,fire,
515,panpour,515.png,6,135,water,
516,simipour,516.png,10,290,water,
517,munna,517.png,6,233,psychic,
518,musharna,518.png,11,605,psychic,
519,pidove,519.png,3,21,normal,flying
520,tranquill,520.png,6,150,normal,flying
521,unfezant,521.png,12,290,normal,flying
522,blitzle,522.png,8,298,electric,
523,zebstrika,523.png,16,795,electric,
524,roggenrola,524.png,4,180,rock,
525,boldore,525.png,9,1020,rock,
526,gigalith,526.png,17,2600,rock,
527,woobat,527.png,4,21,psychic,flying
528,swoobat,528.png,9,105,psychic,flying
529,drilbur,529.png,3,85,ground,
530,excadrill,530.png,7,404,ground,steel
531,audino,531.png,11,310,normal,
532,timburr,532.png,6,125,fighting,
533,gurdurr,533.png,12,400,fighting,
534,conkeldurr,534.png,14,870,fighting,
535,tympole,535.png,5,45,water,
536,palpitoad,536.png,8,170,water,ground
537,seismitoad,537.png,15,620,water,ground
538,throh,538.png,13,555,fighting,
539,sawk,539.png,14,510,fighting,
540,sewaddle,540.png,3,25,bug,grass
541,swadloon,541.png,5,73,bug,grass
542,leavanny,542.png,12,205,bug,grass
543,venipede,543.png,4,53,bug,poison
544,whirlipede,544.png,12,585,bug,poison
545,scolipede,545.png,25,2005,bug,poison
546,cottonee,546.png,3,6,grass,fairy
547,whimsicott,547.png,7,66,grass,fairy
548,petilil,548.png,5,66,grass,
549,lilligant,549.png,11,163,grass,
550,basculin-red-striped,550.png,10,180,water,
551,sandile,551.png,7,152,ground,dark
552,krokorok,552.png,10,334,ground,dark
553,krookodile,553.png,15,963,ground,dark
554,darumaka,554.png,6,375,fire,
555,darmanitan-standard,555.png,13,929,fire,
556,maractus,556.png,10,280,grass,
557,dwebble,557.png,3,145,bug,rock
558,crustle,558.png,14,2000,bug,rock
559,scraggy,559.png,6,118,dark,fighting
560,scrafty,560.png,11,300,dark,fighting
561,sigilyph,561.png,14,140,psychic,flying
562,yamask,562.png,5,15,ghost,
563,cofagrigus,563.png,17,765,ghost,
564,tirtouga,564.png,7,165,water,rock
565,carracosta,565.png,12,810,water,rock
566,archen,566.png,5,95,rock,flying
567,archeops,567.png,14,320,rock,flying
568,trubbish,568.png,6,310,poison,
569,garbodor,569.png,19,1073,poison,
570,zorua,570.png,7,125,dark,
571,zoroark,571.png,16,811,dark,
572,minccino,572.png,4,58,normal,
573,cinccino,573.png,5,75,normal,
574,gothita,574.png,4,58,psychic,
575,gothorita,575.png,7,180,psychic,
576,gothitelle,576.png,15,440,psychic,
577,solosis,577.png,3,10,psychic,
578,duosion,578.png,6,80,psychic,
579,reuniclus,579.png,10,201,psychic,
580,ducklett,580.png,5,55,water,flying
581,swanna,581.png,13,242,water,flying
582,vanillite,582.png,4,57,ice,
583,vanillish,583.png,11,410,ice,
584,vanilluxe,584.png,13,575,ice,
585,deerling,585.png,6,195,normal,grass
586,sawsbuck,586.png,19,925,normal,grass
587,emolga,587.png,4,50,electric,flying
588,karrablast,588.png,5,59,bug,
589,escavalier,589.png,10,330,bug,steel
590,foongus,590.png,2,10,grass,poison
591,amoonguss,591.png,6,105,grass,poison
592,frillish,592.png,12,330,water,ghost
593,jellicent,593.png,22,1350,water,ghost
594,alomomola,594.png,12,316,water,
595,joltik,595.png,1,6,bug,electric
596,galvantula,596.png,8,143,bug,electric
597,ferroseed,597.png,6,188,grass,steel
598,ferrothorn,598.png,10,1100,grass,steel
599,klink,599.png,3,210,steel,
600,klang,600.png,6,510,steel,
601,klinklang,601.png,6,810,steel,
602,tynamo,602.png,2,3,electric,
603,eelektrik,603.png,12,220,electric,
604,eelektross,604.png,21,805,electric,
605,elgyem,605.png,5,90,psychic,
606,beheeyem,606.png,10,345,psychic,
607,litwick,607.png,3,31,ghost,fire
608,lampent,608.png,6,130,ghost,fire
609,chandelure,609.png,10,343,ghost,fire
610,axew,610.png,6,180,dragon,
611,fraxure,611.png,10,360,dragon,
612,haxorus,612.png,18,1055,dragon,
613,cubchoo,613.png,5,85,ice,
614,beartic,614.png,26,2600,ice,
615,cryogonal,615.png,11,1480,ice,
616,shelmet,616.png,4,77,bug,
617,accelgor,617.png,8,253,bug,
618,stunfisk,618.png,7,110,ground,electric
619,mienfoo,619.png,9,200,fighting,
620,mienshao,620.png,14,355,fighting,
621,druddigon,621.png,16,1390,dragon,
622,golett,622.png,10,920,ground,ghost
623,golurk,623.png,28,3300,ground,ghost
624,pawniard,624.png,5,102,dark,steel
625,bisharp,625.png,16,700,dark,steel
626,bouffalant,626.png,16,946,normal,
627,rufflet,627.png,5,105,normal,flying
628,braviary,628.png,15,410,normal,flying
629,vullaby,629.png,5,90,dark,flying
630,mandibuzz,630.png,12,395,dark,flying
631,heatmor,631.png,14,580,fire,
632,durant,632.png,3,330,bug,steel
633,deino,633.png,8,173,dark,dragon
634,zweilous,634.png,14,500,dark,dragon
635,hydreigon,635.png,18,1600,dark,dragon
636,larvesta,636.png,11,288,bug,fire
637,volcarona,637.png,16,460,bug,fire
638,cobalion,638.png,21,2500,steel,fighting
639,terrakion,639.png,19,2600,rock,fighting
640,virizion,640.png,20,2000,grass,fighting
641,tornadus-incarnate,641.png,15,630,flying,
642,thundurus-incarnate,642.png,15,610,electric,flying
643,reshiram,643.png,32,3300,dragon,fire
644,zekrom,644.png,29,3450,dragon,electric
645,landorus-incarnate,645.png,15,680,ground,flying
646,kyurem,646.png,30,3250,dragon,ice
647,keldeo-ordinary,647.png,14,485,water,fighting
648,meloetta-aria,648.png,6,65,normal,psychic
649,genesect,649.png,15,825,bug,steel
650,chespin,650.png,4,90,grass,
651,quilladin,651.png,7,290,grass,
652,chesnaught,652.png,16,900,grass,fighting
653,fennekin,653.png,4,94,fire,
654,braixen,654.png,10,145,fire,
655,delphox,655.png,15,390,fire,psychic
656,froakie,656.png,3,70,water,
657,frogadier,657.png,6,109,water,
658,greninja,658.png,15,400,water,dark
659,bunnelby,659.png,4,50,normal,
660,diggersby,660.png,10,424,normal,ground
661,fletchling,661.png,3,17,normal,flying
662,fletchinder,662.png,7,160,fire,flying
663,talonflame,663.png,12,245,fire,flying
664,scatterbug,664.png,3,25,bug,
665,spewpa,665.png,3,84,bug,
666,vivillon,666.png,12,170,bug,flying
667,litleo,667.png,6,135,fire,normal
668,pyroar,668.png,15,815,fire,normal
669,flabebe,669.png,1,1,fairy,
670,floette,670.png,2,9,fairy,
671,florges,671.png,11,100,fairy,
672,skiddo,672.png,9,310,grass,
673,gogoat,673.png,17,910,grass,
674,pancham,674.png,6,80,fighting,
675,pangoro,675.png,21,1360,fighting,dark
676,furfrou,676.png,12,280,normal,
677,espurr,677.png,3,35,psychic,
678,meowstic-male,678.png,6,85,psychic,
679,honedge,679.png,8,20,steel,ghost
680,doublade,680.png,8,45,steel,ghost
681,aegislash-shield,681.png,17,530,steel,ghost
682,spritzee,682.png,2,5,fairy,
683,aromatisse,683.png,8,155,fairy,
684,swirlix,684.png,4,35,fairy,
685,slurpuff,685.png,8,50,fairy,
686,inkay,686.png,4,35,dark,psychic
687,malamar,687.png,15,470,dark,psychic
688,binacle,688.png,5,310,rock,water
689,barbaracle,689.png,13,960,rock,water
690,skrelp,690.png,5,73,poison,water
691,dragalge,691.png,18,815,poison,dragon
692,clauncher,692.png,5,83,water,
693,clawitzer,693.png,13,353,water,
694,helioptile,694.png,5,60,electric,normal
695,heliolisk,695.png,10,210,electric,normal
696,tyrunt,696.png,8,260,rock,dragon
697,tyrantrum,697.png,25,2700,rock,dragon
698,amaura,698.png,13,252,rock,ice
